	code	issue	description	type
67	aitidinv	ALT_IDENTIFIER_INVALID	At least one alternative identifier extension record attached to this name usage is invalid.	name
68	bbmn	BACKBONE_MATCH_NONE	Name usage could not be matched to the GBIF backbone.	name
69	basauthm	BASIONYM_AUTHOR_MISMATCH	The authorship of the original name does not match the authorship in brackets of the actual name.	name
70	bibrinv	BIB_REFERENCE_INVALID	At least one bibliographic reference extension record attached to this name usage is invalid.	name
71	chsun	CHAINED_SYNOYM	If a synonym points to another synonym as its accepted taxon the chain is resolved.	name
72	clasna	CLASSIFICATION_NOT_APPLIED	The denormalized classification could not be applied to the name usage.	name
73	clasroi	CLASSIFICATION_RANK_ORDER_INVALID	The given ranks of the names in the classification hierarchy do not follow the hierarchy of ranks.	name
74	conbascomb	CONFLICTING_BASIONYM_COMBINATION	There have been more than one accepted name in a homotypical basionym group of names.	name
75	desinv	DESCRIPTION_INVALID	At least one description extension record attached to this name usage is invalid.	name
76	disinv	DISTRIBUTION_INVALID	At least one distribution extension record attached to this name usage is invalid.	name
77	hom	HOMONYM	A not synonymized homonym exists for this name in some other backbone source which have been ignored at build time.	name
78	minv	MULTIMEDIA_INVALID	At least one multimedia extension record attached to this name usage is invalid.	name
79	npm	NAME_PARENT_MISMATCH	The (accepted) bi/trinomial name does not match the parent name and should be recombined into the parent genus/species.	name
80	ns	NO_SPECIES	The group (currently only genera are tested) are lacking any accepted species GBIF backbone specific issue.	name
81	nsinv	NOMENCLATURAL_STATUS_INVALID	dwc:nomenclaturalStatus could not be interpreted	name
82	onder	ORIGINAL_NAME_DERIVED	Record has a original name (basionym) relationship which was derived from name & authorship comparison, but did not exist explicitly in the data.	name
83	onnu	ORIGINAL_NAME_NOT_UNIQUE	Record has a verbatim original name (basionym) which is not unique and refers to several records.	name
84	onuidinv	ORIGINAL_NAME_USAGE_ID_INVALID	The value for dwc:originalNameUsageID could not be resolved.	name
85	ov	ORTHOGRAPHIC_VARIANT	A potential orthographic variant exists in the backbone.	name
86	pc	PARENT_CYCLE	The child parent classification resulted into a cycle that needed to be resolved/cut.	name
87	pnnu	PARENT_NAME_NOT_UNIQUE	Record has a verbatim parent name which is not unique and refers to several records.	name
88	pnuidinv	PARENT_NAME_USAGE_ID_INVALID	The value for dwc:parentNameUsageID could not be resolved.	name
89	pp	PARTIALLY_PARSABLE	The beginning of the scientific name string was parsed, but there is additional information in the string that was not understood.	name
90	pbg	PUBLISHED_BEFORE_GENUS	A bi/trinomial name published earlier than the parent genus was published.	name
91	rankinv	RANK_INVALID	dwc:taxonRank could not be interpreted	name
92	relmiss	RELATIONSHIP_MISSING	There were problems representing all name usage relationships, i.e.	name
93	scina	SCIENTIFIC_NAME_ASSEMBLED	The scientific name was assembled from the individual name parts and not given as a whole string.	name
94	spprinv	SPECIES_PROFILE_INVALID	At least one species profile extension record attached to this name usage is invalid.	name
95	taxstinv	TAXONOMIC_STATUS_INVALID	dwc:taxonomicStatus could not be interpreted	name
96	taxstmis	TAXONOMIC_STATUS_MISMATCH	no description	name
97	unpars	UNPARSABLE	The scientific name string could not be parsed at all, but appears to be a parsable name type, i.e.	name
98	vernnameinv	VERNACULAR_NAME_INVALID	At least one vernacular name extension record attached to this name usage is invalid.	name
99	backmatagg	BACKBONE_MATCH_AGGREGATE	Name usage could only be matched to a GBIF backbone species, but was in fact a broader species aggregate/complex.	name
